country,year,gwno,ccode,ifscode,ifs,gwabbrev,gdppc_WDI_PW,lngdppc_WDI_PW,democracy_DD,v2x_polyarchy_VDEM,v2x_corr_VDEM
Colombia,1902,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
Colombia,1902,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
Colombia,1903,100,100,233,COL,COL,NA,NA,NA,0.19,0.629
Colombia,1903,100,100,233,COL,COL,NA,NA,NA,0.19,0.629
Colombia,1904,100,100,233,COL,COL,NA,NA,NA,0.193,0.543
Colombia,1904,100,100,233,COL,COL,NA,NA,NA,0.193,0.543
Colombia,1905,100,100,233,COL,COL,NA,NA,NA,0.186,0.63
Colombia,1905,100,100,233,COL,COL,NA,NA,NA,0.186,0.63
Colombia,1906,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1906,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1907,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1907,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1908,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1908,100,100,233,COL,COL,NA,NA,NA,0.191,0.63
Colombia,1909,100,100,233,COL,COL,NA,NA,NA,0.187,0.63
Colombia,1909,100,100,233,COL,COL,NA,NA,NA,0.187,0.63
Colombia,1910,100,100,233,COL,COL,NA,NA,NA,0.25,0.63
Colombia,1910,100,100,233,COL,COL,NA,NA,NA,0.25,0.63
Colombia,1911,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1911,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1912,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1912,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1913,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1913,100,100,233,COL,COL,NA,NA,NA,0.271,0.63
Colombia,1914,100,100,233,COL,COL,NA,NA,NA,0.241,0.63
Colombia,1914,100,100,233,COL,COL,NA,NA,NA,0.241,0.63
Colombia,1915,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1915,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1916,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1916,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1917,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1917,100,100,233,COL,COL,NA,NA,NA,0.237,0.63
Colombia,1918,100,100,233,COL,COL,NA,NA,NA,0.236,0.63
Colombia,1918,100,100,233,COL,COL,NA,NA,NA,0.236,0.63
Colombia,1919,100,100,233,COL,COL,NA,NA,NA,0.236,0.63
Colombia,1919,100,100,233,COL,COL,NA,NA,NA,0.236,0.63
Colombia,1920,100,100,233,COL,COL,NA,NA,NA,0.241,0.63
Colombia,1920,100,100,233,COL,COL,NA,NA,NA,0.241,0.63
Colombia,1921,100,100,233,COL,COL,NA,NA,NA,0.24,0.63
Colombia,1921,100,100,233,COL,COL,NA,NA,NA,0.24,0.63
Colombia,1922,100,100,233,COL,COL,NA,NA,NA,0.231,0.63
Colombia,1922,100,100,233,COL,COL,NA,NA,NA,0.231,0.63
Colombia,1923,100,100,233,COL,COL,NA,NA,NA,0.229,0.63
Colombia,1923,100,100,233,COL,COL,NA,NA,NA,0.229,0.63
Colombia,1924,100,100,233,COL,COL,NA,NA,NA,0.226,0.63
Colombia,1924,100,100,233,COL,COL,NA,NA,NA,0.226,0.63
Colombia,1925,100,100,233,COL,COL,NA,NA,NA,0.226,0.63
Colombia,1925,100,100,233,COL,COL,NA,NA,NA,0.226,0.63
Colombia,1926,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1926,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1927,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1927,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1928,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1928,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1929,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1929,100,100,233,COL,COL,NA,NA,NA,0.224,0.63
Colombia,1930,100,100,233,COL,COL,NA,NA,NA,0.235,0.63
Colombia,1930,100,100,233,COL,COL,NA,NA,NA,0.235,0.63
Colombia,1931,100,100,233,COL,COL,NA,NA,NA,0.239,0.585
Colombia,1931,100,100,233,COL,COL,NA,NA,NA,0.239,0.585
Colombia,1932,100,100,233,COL,COL,NA,NA,NA,0.244,0.585
Colombia,1932,100,100,233,COL,COL,NA,NA,NA,0.244,0.585
Colombia,1933,100,100,233,COL,COL,NA,NA,NA,0.242,0.585
Colombia,1933,100,100,233,COL,COL,NA,NA,NA,0.242,0.585
Colombia,1934,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1934,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1935,100,100,233,COL,COL,NA,NA,NA,0.239,0.585
Colombia,1935,100,100,233,COL,COL,NA,NA,NA,0.239,0.585
Colombia,1936,100,100,233,COL,COL,NA,NA,NA,0.246,0.585
Colombia,1936,100,100,233,COL,COL,NA,NA,NA,0.246,0.585
Colombia,1937,100,100,233,COL,COL,NA,NA,NA,0.25,0.585
Colombia,1937,100,100,233,COL,COL,NA,NA,NA,0.25,0.585
Colombia,1938,100,100,233,COL,COL,NA,NA,NA,0.251,0.585
Colombia,1938,100,100,233,COL,COL,NA,NA,NA,0.251,0.585
Colombia,1939,100,100,233,COL,COL,NA,NA,NA,0.253,0.585
Colombia,1939,100,100,233,COL,COL,NA,NA,NA,0.253,0.585
Colombia,1940,100,100,233,COL,COL,NA,NA,NA,0.253,0.585
Colombia,1940,100,100,233,COL,COL,NA,NA,NA,0.253,0.585
Colombia,1941,100,100,233,COL,COL,NA,NA,NA,0.248,0.585
Colombia,1941,100,100,233,COL,COL,NA,NA,NA,0.248,0.585
Colombia,1942,100,100,233,COL,COL,NA,NA,NA,0.244,0.585
Colombia,1942,100,100,233,COL,COL,NA,NA,NA,0.244,0.585
Colombia,1943,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1943,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1944,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1944,100,100,233,COL,COL,NA,NA,NA,0.241,0.585
Colombia,1945,100,100,233,COL,COL,NA,NA,NA,0.269,0.585
Colombia,1945,100,100,233,COL,COL,NA,NA,NA,0.269,0.585
Colombia,1946,100,100,233,COL,COL,NA,NA,1,0.268,0.585
Colombia,1946,100,100,233,COL,COL,NA,NA,1,0.268,0.585
Colombia,1947,100,100,233,COL,COL,NA,NA,1,0.259,0.585
Colombia,1947,100,100,233,COL,COL,NA,NA,1,0.259,0.585
Colombia,1948,100,100,233,COL,COL,NA,NA,1,0.223,0.585
Colombia,1948,100,100,233,COL,COL,NA,NA,1,0.223,0.585
Colombia,1949,100,100,233,COL,COL,NA,NA,0,0.182,0.484
Colombia,1949,100,100,233,COL,COL,NA,NA,0,0.182,0.484
Colombia,1950,100,100,233,COL,COL,2737.57706,7.91482852,0,0.146,0.484
Colombia,1950,100,100,233,COL,COL,2737.57706,7.91482852,0,0.146,0.484
Colombia,1951,100,100,233,COL,COL,2714.55118,7.90638190,0,0.178,0.576
Colombia,1951,100,100,233,COL,COL,2714.55118,7.90638190,0,0.178,0.576
Colombia,1952,100,100,233,COL,COL,2803.76272,7.93871762,0,0.18,0.576
Colombia,1952,100,100,233,COL,COL,2803.76272,7.93871762,0,0.18,0.576
Colombia,1953,100,100,233,COL,COL,2929.29174,7.98251594,0,0.135,0.576
Colombia,1953,100,100,233,COL,COL,2929.29174,7.98251594,0,0.135,0.576
Colombia,1954,100,100,233,COL,COL,3055.64423,8.02474572,0,0.101,0.576
Colombia,1954,100,100,233,COL,COL,3055.64423,8.02474572,0,0.101,0.576
Colombia,1955,100,100,233,COL,COL,3086.47605,8.03478528,0,0.101,0.576
Colombia,1955,100,100,233,COL,COL,3086.47605,8.03478528,0,0.101,0.576
Colombia,1956,100,100,233,COL,COL,3066.14890,8.02817762,0,0.101,0.576
Colombia,1956,100,100,233,COL,COL,3066.14890,8.02817762,0,0.101,0.576
Colombia,1957,100,100,233,COL,COL,2984.94274,8.00133584,0,0.102,0.57
Colombia,1957,100,100,233,COL,COL,2984.94274,8.00133584,0,0.102,0.57
Colombia,1958,100,100,233,COL,COL,2919.47072,7.97915762,1,0.219,0.583
Colombia,1958,100,100,233,COL,COL,2919.47072,7.97915762,1,0.219,0.583
